Acme,"Diploid. Self sterile."
Akero,"Diploid. Self sterile."
Alkmene,"Self fertile but produces the best crops when grown in proximity to a suitable source of pollen."
"Alnarp 2",
Alpinist,"Self sterile."
Alton,"Diploid. Self sterile."
"YELLOW TRANSPARENT","Diploid. Self sterile."
Ambrosia,"Diploid. Self sterile."
"American Summer Pearmain","Diploid. Self sterile."
"Ananas Berżenicki","Self fertile, but produces best crops in the presence of a compatible pollinator."
"Anis Aliy K-32",
Anisim,"Self sterile."
Anna,
"Annie Elizabeth","Diploid. Self sterile."
Anoka,"Diploid. Self sterile."
"Antonovka Ottawa","Self sterile."
"Apfel aus Grunheide","Self sterile."
"Arkad Zimnyi","Self sterile."
"Arkansas Black","Triploid. Produces only sterile pollen."
"Arkansas Black","Triploid. Group C, Day 10."
Arlet,"Diploid. Self sterile."
Aroma,"Diploid. Self fertile but crops best in the proximity of a compatible source of pollen."
Atlas,"Self sterile."
Auralia,"Self sterile. Group E. Day 16. Tloerant of late fros"
"Autumn Arctic","Diploid. Self sterile."
Balancier,"Self sterile."
Baldwin,"Triploid. Does not produce viable pollen, needs to be grown in proximity of a suitable source of pollen."
"Gallia Beauty","Diploid. Partially self fertile but produces better crops when grown in proximity to a suitable source of pollen."
Ballyfatten,"Self sterile.   First record of this  Group E. Day 17.  ?  ?  ?  s"
"Banon's Seedling","Self sterile."
Barry,"Diploid. Self sterile."
"Bashkirian Beauty","Self sterile."
Battleford,"Diploid. Self sterile."
"Baumann's Reinette","Diploid. Self sterile."
Baxter,"Diploid. Self sterile."
Bean,"Self sterile."
"Beautiful Arcade","Diploid. Self sterile."
"Beauty of Bath","Diploid. Self fertile."
"Bedford Red","Self sterile. Group D. Day 13."
Beforest,"Diploid. Self sterile."
"Belle Fille","Diploid. Self sterile."
"Belle Norman","Self sterile."
"Belle de Boskoop","Triploid. Produces no viable pollen for itself or other apple trees. Needs a nearby source of viable pollen in order to produce fruit."
"Belle de Crollon","Self sterile."
Benham,"Diploid. Self sterile."
Benham,"Diploid. Self sterile."
"Benitts Roter Finkenwerde","Self sterile."
Benoni,"Diploid. Self sterile."
"Beverly Hills","Partially self fertile. Group D. Day 15."
Bietigheimer,
Bisbee,"Self sterile."
"Bisbee Giant Winesap","Triploid. Does not produce viable pollen for itself or other apple trees. Needs to be grown in proximity to a source of compatible pollen."
"Black Crofton","Diploid. Self sterile."
"Black Gilliflower","Diploid. Self sterile."
"Black Oxford",
"Blahova Ruzena","Self sterile."
Blair,"Self sterile. Group B. Day 7."
Blairmont,"ab afgb The flowers can tolerate late frosts."
"Blanc Mollet","Self sterile."
Blaze,"Diploid. Self sterile."
"Blenheim Orange","Triploid. Produces only infertile pollen and requires the proximity of a source of viable pollen in order to produce normal crops of fruit."
"Blue Pearmain","Diploid. Self Sterile."
Boche,"Self sterile."
Boiken,"Dipoloid. Self sterile. Heavy pollen production."
Bonza,"Diploid. Self sterile."
Braeburn,"Self fertile but produces the best crops in the proximity of a suitable pollen donor."
Brazil,"Self sterile."
Britegold,"Diploid. Self sterile."
Britemac,"Diploid. Self sterile."
Brusnichnoe,"Self sterile."
Burgundy,"Diploid. Self sterile."
Camuzat,"Self sterile."
"Captain Kidd","Self sterile."
Caravel,"Diploid. Self sterile."
Carlton,"Self sterile. Group B. Day 6."
Carola,"Diploid. Self sterile."
Carroll,"Diploid. Self sterile."
Cartigny,"Diploid. Self sterile."
Champlain,"Self sterile."
Charden,"Triploid. Does not produce viable pollen for other apple trees."
Charlamoff,"Diploid. Self sterile."
"Charles Ross","Partly self fertile but produces the best crops in the proximity of a compatible source of pollen."
Chautauqua,"Diploid. Self sterile."
"Cheal's Golden Gem","Self sterile."
Cheddar,"Self sterile."
Chehalis,"Self fertile but produces the best crops in the presence of a suitable source of pollen."
"Chenango Strawberry","Diploid. Self sterile."
Chieftain,"Diploid. Self sterile."
"Clear Gold","Self sterile."
Clivia,"Diploid. Self sterile."
